,Track ID,Clip ID,Bout Call ID * formerly Neckband Nr; but no single entry was made,Goose ID,upper left,mid left,lower left,upper right,mid right,lower right,Location,Day,Month,Year,Date,Time,Recorder,Microphone,Comment,Wav Treatment,Context,Recorder ID,...24,Begin Time (s),End Time (s),Call Type,unsure,same_track
0,GT00002,G00024,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,0.388820933,0.606505892,departure,0,False
1,GT00002,G00025,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,3.129734694,3.346050565,departure,0,True
2,GT00002,G00026,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,4.056369864,4.253518507,departure,0,True
3,GT00002,G00027,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,4.960205073,5.157353715,departure,0,True
4,GT00002,G00028,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,5.919935615,6.110238818,departure,0,True
5,GT00002,G00029,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,8.206166345,8.516949274,departure,0,True
6,GT00002,G00030,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,8.945473753,9.208338609,departure,0,True
7,GT00002,G00031,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,9.779248219,10.058542129,departure,0,True
8,GT00002,G00032,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,10.508972012,10.796480449,departure,0,True
9,GT00002,G00033,,Burglar,silver,,,green,Alu,pink,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,12.05467213,12.314798811,departure,0,True
10,GT00003,G00034,,Smoky,Yellow,ALU,,green,black,,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,9.106190476,9.27106576,recruitment,0,False
11,GT00003,G00035,,Smoky,Yellow,ALU,,green,black,,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,9.357256236,9.51893424,recruitment,0,True
12,GT00003,G00036,,Smoky,Yellow,ALU,,green,black,,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,9.586077098,9.725510204,recruitment,0,True
13,GT00003,G00037,,Smoky,Yellow,ALU,,green,black,,KLF grass,4.0,9.0,2020.0,04.Sep.2020,9.30am,,Sennheiser MKE 600,before flying away,,,Marie,,9.770385488,9.922562358,recruitment,0,True
