clip_ID,call_type,latent_representation
G06105,4,"[-0.18652606010437012, 0.08827158808708191, -0.8708633780479431, -0.32555073499679565, 2.6098790168762207, 1.354407548904419, -0.08112883567810059, 0.21001732349395752, -2.562781810760498, 1.175199031829834, -0.6721773147583008, 0.3165234923362732, -1.3504573106765747, 0.8663157224655151, 0.04935827851295471, -1.1846126317977905, -0.12621718645095825, 1.2886302471160889, -1.701337456703186, 0.20576491951942444, -0.1727837324142456, -0.9273972511291504, -1.4248496294021606, -1.5233417749404907, -0.8957585096359253, 0.7142921090126038, 0.5901320576667786, 0.8632011413574219, -0.6502830982208252, -0.11090631783008575, 0.12111714482307434, -1.7254252433776855, 2.316585063934326, 0.309639036655426, -0.4700244069099426, -0.5659980177879333, 0.3723824620246887, -0.6767377257347107, 0.14460474252700806, 2.4517440795898438, -0.672523558139801, -0.03890835493803024, -0.11349266767501831, -0.5792279243469238, 0.24151059985160828, 0.10346311330795288, -0.7806957960128784, -0.7929874658584595, 1.6043874025344849, -0.779498815536499, -0.32794690132141113, 0.8157193064689636, -0.25288671255111694, 0.8183721303939819, -0.5594390630722046, -0.3707677721977234, -0.5221898555755615, -0.12458701431751251, 1.019881248474121, -0.46666133403778076, 1.1940813064575195, -0.6458238959312439, -0.1327374279499054, -1.892337679862976, -1.034326434135437, 1.2232110500335693, 0.8818577527999878, -0.4321061670780182, -0.12264406681060791, 0.3584907054901123, -1.8516345024108887, -1.0697429180145264, 1.2310097217559814, 0.08659815788269043, -0.2736019194126129, -0.14654159545898438, 0.9951508641242981, -1.615520715713501, -0.3491935729980469, -0.4883315861225128, -0.37084150314331055, -0.3802647590637207, 0.25405552983283997, 1.546055793762207, -0.3756026327610016, -0.029530078172683716, 0.47935381531715393, -1.7233810424804688, 0.7062807083129883, 0.9940824508666992, -0.10692118108272552, 1.1366745233535767, 0.35677972435951233, -0.06675797700881958, 0.5836354494094849, 0.8789178133010864, 0.16666844487190247, 1.5404988527297974, 1.3485872745513916, -0.1772533655166626, 0.2940796911716461, 0.089183509349823, -0.3620453476905823, -1.5486598014831543, -0.24368491768836975, 0.3677855134010315, 1.7091928720474243, 0.5997035503387451, -0.4240052402019501, 0.9686809778213501, 0.17169125378131866, 0.04804246127605438, 0.1508447825908661, 1.5440175533294678, -0.043978020548820496, 0.6864392757415771, -0.10063096880912781, 0.14465554058551788, 0.10318262130022049, -1.2464041709899902, 0.5874717235565186, 1.5710961818695068, 1.93576180934906, 0.6300768256187439, -0.07221385836601257, -0.5590717196464539, -0.06497573852539062, -0.631210446357727]"
G11648,4,"[-0.2659972012042999, 0.14548657834529877, 0.03831315040588379, -0.08437764644622803, 0.9574309587478638, 1.2662749290466309, -0.19311267137527466, 0.11477037519216537, -1.995745301246643, 1.6993860006332397, -0.600866973400116, -0.32668980956077576, -0.5640363097190857, -0.4553123414516449, 0.16493336856365204, 0.12315192818641663, -0.6257740259170532, 1.8401899337768555, -1.6243362426757812, 0.8613194227218628, 0.46949151158332825, -0.5508981347084045, 0.06939533352851868, 0.4520695209503174, -0.3779640197753906, -0.7235696315765381, 0.5551770925521851, 1.1507285833358765, -1.9988642930984497, 0.22038471698760986, 0.26082488894462585, -0.042708463966846466, 1.47310209274292, 0.5803119540214539, -1.6387503147125244, 0.47377926111221313, 0.9361634254455566, -0.6924499869346619, 0.3706536889076233, 2.661989212036133, 0.06278091669082642, -0.089666947722435, -0.05973222851753235, -0.2708224058151245, -0.8180619478225708, -0.5084917545318604, 0.8332627415657043, -0.5783126950263977, 0.21212100982666016, -1.723661184310913, -0.5832972526550293, 1.6992889642715454, 0.7666362524032593, -0.7254343628883362, -0.8539972305297852, -0.1706639528274536, -0.8335527181625366, 0.3230597972869873, 1.1778110265731812, 1.5790021419525146, -0.10642341524362564, -1.3097726106643677, -0.6171625852584839, -1.4609956741333008, 0.25225964188575745, 1.089831829071045, -0.37758222222328186, -0.7803107500076294, -0.6388939619064331, 0.13071270287036896, 0.08902149647474289, 0.8574587106704712, 0.557457685470581, -2.69742488861084, -0.08112229406833649, 0.395829439163208, -0.01353752613067627, -0.8261399865150452, -0.5802242159843445, 0.8115188479423523, 0.24862903356552124, 0.46042558550834656, -0.488560289144516, 1.2385540008544922, -0.5688297748565674, -0.8099583983421326, -0.8694533705711365, 0.3575824797153473, 1.3059622049331665, 0.7482517957687378, -0.7222363948822021, 1.6118673086166382, 0.5701630115509033, -1.7606492042541504, 1.0437597036361694, -0.5878434181213379, -0.4859441816806793, 1.5269750356674194, 0.39197438955307007, -0.5926154851913452, 0.5905873775482178, 0.7423115968704224, -1.0116682052612305, -1.0734810829162598, 0.5848737955093384, 0.037443213164806366, 1.0043494701385498, -0.5914801359176636, -0.5287538766860962, -0.6748232841491699, 0.07209526002407074, -1.8962123394012451, -0.6584566831588745, -0.17576909065246582, 0.0869479775428772, 1.2222615480422974, 1.3364802598953247, -0.20133154094219208, -0.37469714879989624, -0.41298019886016846, 2.024188995361328, 1.716583251953125, 0.8689538240432739, 1.8716018199920654, -0.15340429544448853, 0.6660647988319397, 1.3249861001968384, 1.5249779224395752]"
G09512,1,"[0.33625131845474243, 0.9451193809509277, -1.0585094690322876, 1.697575330734253, -0.10444632172584534, -2.056270122528076, -0.4223044514656067, -0.7557715773582458, 1.00894033908844, 0.45926201343536377, -0.7749754190444946, -0.2831074595451355, -0.010971307754516602, 0.6100746989250183, 0.3172333538532257, -0.5223021507263184, -1.6298859119415283, -0.7707234621047974, 1.5784363746643066, 1.265974521636963, -0.02419865131378174, -0.173292875289917, 2.2833287715911865, 2.7216200828552246, -2.350121021270752, 1.7679592370986938, 0.7322614192962646, -0.37529581785202026, 0.854316234588623, 2.1719956398010254, 0.5539277195930481, 0.9252238273620605, 0.5353243947029114, 0.629680335521698, 1.5460137128829956, 1.0871365070343018, -1.131169080734253, -0.6832842826843262, -1.152162790298462, -2.423976421356201, -1.2791330814361572, -1.1800875663757324, -0.3945125639438629, 0.5768619775772095, -0.19188031554222107, -0.6575503349304199, -2.9287004470825195, -0.7358863353729248, -0.010232150554656982, -0.15979960560798645, -0.6731945276260376, -0.7292183637619019, -1.5201393365859985, 1.316316843032837, 1.087378978729248, 1.1510156393051147, 1.6526600122451782, -1.4168859720230103, 1.4338247776031494, 2.2891030311584473, -1.3012676239013672, 3.6286027431488037, 0.6196678876876831, -0.4081234633922577, -0.131220281124115, -0.2045953869819641, -1.7041479349136353, 1.8637465238571167, 0.3172155022621155, 0.41180211305618286, -0.9114068746566772, -1.0210728645324707, 0.03292036056518555, 0.14534685015678406, -1.8601646423339844, -0.21909108757972717, 1.2575443983078003, 0.6206883192062378, -0.26679691672325134, 1.9539380073547363, 0.1698821783065796, 0.6240870952606201, 1.3603484630584717, -0.10194969177246094, -1.4343788623809814, 1.8635836839675903, 2.3481264114379883, 1.0818284749984741, -0.8527315258979797, 0.3474443554878235, 0.05049094557762146, -0.3873578906059265, -0.6383758783340454, 1.1345933675765991, -0.7964013814926147, 2.1724002361297607, -0.2687390446662903, -0.19064439833164215, 0.6145616769790649, -0.28141269087791443, -0.29181891679763794, 0.3681159019470215, 1.5814845561981201, 0.07037332653999329, -1.7696871757507324, 2.6732940673828125, -1.0605992078781128, -1.122591257095337, -0.16692015528678894, -0.6870119571685791, 0.1977566033601761, 0.5741581320762634, 0.9603707194328308, 0.004597723484039307, -0.34503793716430664, -2.289076805114746, -1.1969316005706787, 0.7108370661735535, 0.7394610643386841, 2.4696788787841797, 1.1381957530975342, 0.14686429500579834, 0.2799196243286133, -0.17585298418998718, -0.4776064157485962, 0.9579731225967407, -0.8456794619560242, 0.01380053162574768]"
G05992,1,"[-0.2001934051513672, -0.20465736091136932, -0.49982476234436035, 0.33482226729393005, 0.6899235844612122, 0.6773333549499512, -0.6862670183181763, -1.2534855604171753, -2.108605146408081, -1.1725282669067383, -1.7458570003509521, -1.5366984605789185, -1.2757741212844849, 0.845801591873169, 0.3289237320423126, 0.8757821321487427, 0.5300410985946655, 2.5381317138671875, -1.3201353549957275, 1.3141136169433594, 0.6626664996147156, 0.127406045794487, 0.22389724850654602, 0.2965225279331207, -1.503730297088623, -0.33005356788635254, 0.3046242594718933, 0.23479647934436798, 0.160569429397583, -0.5303229689598083, -0.37004831433296204, 0.8165756464004517, 0.4257970452308655, 0.311072438955307, 0.0638396143913269, -0.6412240266799927, 0.8607532382011414, -1.2360467910766602, -0.583225429058075, 1.4194508790969849, -0.8631856441497803, -0.5092176795005798, -0.6169737577438354, 0.28208309412002563, -1.1394269466400146, 0.863619327545166, -0.4226488173007965, -1.1289390325546265, 2.206920862197876, 0.04465442895889282, -1.157886028289795, 0.5284352898597717, -0.15192466974258423, -0.7667340636253357, 0.546282947063446, -0.6441786289215088, 0.40892910957336426, -1.0987451076507568, 0.12965431809425354, -0.15426689386367798, 0.706196665763855, -0.34091973304748535, 0.7205711007118225, -0.7033977508544922, 1.1052662134170532, -0.6884885430335999, -0.27870842814445496, -1.0337505340576172, -0.4416089951992035, 0.050114721059799194, 0.7611110210418701, -1.099318504333496, 0.9560636281967163, -0.24188199639320374, -1.1772351264953613, 1.5324138402938843, -0.1116822361946106, 0.5292326211929321, 0.1168707013130188, 0.7313199043273926, 0.3467404842376709, 0.2035016119480133, 1.6864054203033447, -0.24696838855743408, 1.1919612884521484, -1.5674844980239868, 0.028379380702972412, -0.10654774308204651, 1.8638200759887695, 0.23837143182754517, -0.28146031498908997, 0.772308886051178, -1.2947196960449219, 0.7927950620651245, 0.42399778962135315, 0.9253402352333069, 0.10494565963745117, 0.8893495202064514, -0.656753420829773, -0.5106600522994995, -0.5843521952629089, 0.07763069868087769, -0.04273676872253418, -2.5081701278686523, -0.9458879232406616, 0.9219735860824585, -1.3174803256988525, 1.3702595233917236, 0.9040248990058899, 0.6833792924880981, 0.4294431805610657, 0.8270052075386047, 0.9047563076019287, 0.49228158593177795, -1.025002360343933, -0.1939673274755478, 1.4359173774719238, -1.9281944036483765, 0.32268384099006653, 0.3684387803077698, 0.016983091831207275, 3.222111225128174, 1.6096405982971191, -0.8294340372085571, -1.672170877456665, 0.8673356771469116, 0.6352803707122803, 0.33508723974227905]"
G12695,5,"[-1.2416143417358398, -0.21548518538475037, 1.1657814979553223, 0.1622506082057953, -0.506291389465332, -1.6557657718658447, -0.326699823141098, 0.4611298143863678, 0.3956969976425171, 0.5069902539253235, -1.0641462802886963, -0.9532064199447632, -1.2156795263290405, -0.19386106729507446, -0.14723935723304749, -0.3811393976211548, 0.015623927116394043, 2.8215572834014893, 0.02710038051009178, -0.41391831636428833, -0.3087747395038605, -1.3898158073425293, 2.170624017715454, 0.18705052137374878, -0.014753997325897217, 0.35865533351898193, -1.2237589359283447, 1.2161414623260498, 1.9813505411148071, 0.32908523082733154, 0.43088722229003906, -0.0007487237453460693, -1.4601364135742188, -0.6955633163452148, -1.010128140449524, 1.1466262340545654, -1.6395845413208008, -1.3159048557281494, -0.3894444406032562, 0.39381659030914307, 0.010080665349960327, -0.30891501903533936, 0.7502664923667908, 1.0721380710601807, -1.4297224283218384, 0.2352619767189026, -1.2801311016082764, -0.505078911781311, 0.17682921886444092, 1.4189932346343994, -1.1253663301467896, 2.2909936904907227, 0.27462685108184814, -0.3612629175186157, -1.2901915311813354, -0.6701834201812744, 0.6620620489120483, -0.04487180709838867, -0.13231408596038818, 0.036210134625434875, 0.07726356387138367, 0.41162195801734924, 1.0198800563812256, 0.8261877298355103, 1.586892008781433, -0.12635491788387299, -0.04711812734603882, 0.22702807188034058, -0.9003088474273682, -1.6046620607376099, 0.44514963030815125, 0.4765058755874634, 1.0867668390274048, 0.3538379967212677, 1.341447114944458, 0.7757759094238281, -0.735338568687439, -0.4661177098751068, -0.3132912516593933, -1.5831401348114014, 0.2437908947467804, -0.11722052097320557, -0.9984196424484253, -1.1108787059783936, 1.4619355201721191, -0.16543982923030853, -1.2091301679611206, 0.6321371793746948, -1.381600260734558, 1.3452993631362915, 0.47430142760276794, 0.11529532074928284, 0.5626072287559509, -0.7674371004104614, -0.7051781415939331, 0.5727509260177612, 0.9626736640930176, 1.2394239902496338, -2.084192991256714, -0.6811333894729614, -0.2433943748474121, -1.333925485610962, 0.8635861873626709, -0.5035474300384521, -0.34172844886779785, 1.8069195747375488, -1.6928324699401855, -0.10221025347709656, 0.30706775188446045, 0.3356069028377533, 0.3060258626937866, 0.34411078691482544, -0.573336124420166, 0.312288761138916, -0.6445708274841309, -0.3875082731246948, 0.44203805923461914, 0.05950775742530823, -0.4454791247844696, -0.7562968134880066, -0.561968982219696, 3.42684006690979, -1.4481090307235718, -0.7063727378845215, 0.11709324270486832, -0.34392207860946655, 0.6068667769432068, 0.3520409166812897]"
G07609,1,"[-0.012002900242805481, 0.2317553609609604, -0.27653953433036804, -0.628360390663147, -0.4377349019050598, 0.35824814438819885, -0.5592478513717651, -0.12275981903076172, -0.45235463976860046, 0.05827397108078003, -1.2277030944824219, -0.749497652053833, -0.25424882769584656, -0.7305817604064941, -0.11932048201560974, 1.6428513526916504, -1.2151391506195068, 1.6601721048355103, -1.526301383972168, 0.43277063965797424, 0.51557457447052, 0.06680706143379211, 1.2058993577957153, 1.7073192596435547, -0.87408447265625, -0.46746358275413513, 0.2623041272163391, 1.4408105611801147, 0.7192378044128418, 0.4479999542236328, -0.690863847732544, -1.143326759338379, 0.5000463724136353, 1.0189075469970703, 0.14365939795970917, -0.9546886086463928, -0.2695384621620178, -0.5652164816856384, -0.902915358543396, 0.9688194990158081, -1.7920571565628052, -1.0507171154022217, -1.0469611883163452, 0.5483146905899048, -1.090224027633667, -0.22195802628993988, -2.0896031856536865, 0.703323245048523, 1.0011390447616577, 0.13013029098510742, 0.36259910464286804, 0.07722046971321106, 0.6922433376312256, 0.6671600937843323, -0.5100100040435791, 0.015066996216773987, -0.4298819303512573, -0.9972521066665649, -0.7982142567634583, -1.5761319398880005, -0.251375287771225, -0.08856207132339478, -0.16366863250732422, -1.5032645463943481, -0.32909244298934937, 0.39163702726364136, -1.2955553531646729, 1.6011977195739746, 0.2935516834259033, 1.8814994096755981, -1.14279305934906, 0.37395358085632324, -0.42759180068969727, 0.3284416198730469, -0.6980809569358826, 1.0955742597579956, 1.3320086002349854, -0.37928974628448486, -1.4532643556594849, 0.4586782157421112, 0.7215345501899719, -0.6884536743164062, -0.31071940064430237, 0.43639546632766724, -1.9662472009658813, 0.9217532873153687, 0.4179098904132843, -0.7502726316452026, -0.038735926151275635, -0.11326748132705688, 0.3332024812698364, 0.3702923655509949, -0.9309757351875305, 0.525469183921814, -0.781004786491394, 0.2960536777973175, -0.14617422223091125, 0.8297107815742493, -0.8992239832878113, 0.4410516619682312, -0.10447598993778229, -0.08024361729621887, 0.9032933712005615, -1.782456636428833, -1.9185235500335693, -0.5347656607627869, -0.7113661170005798, 0.7257987260818481, -0.33040350675582886, -1.4254601001739502, 0.32736122608184814, 0.10406892001628876, 1.9014030694961548, 1.353533387184143, -0.6919203400611877, -0.8938086032867432, 1.2639952898025513, -0.6549607515335083, -0.3952057361602783, -0.014307558536529541, 0.22103351354599, 0.7798687219619751, 0.729823112487793, 0.47710245847702026, 0.6888456344604492, -0.3289862871170044, 1.565589427947998, -0.3381763696670532]"
G09326,4,"[-1.3910009860992432, -0.9983948469161987, -1.275646686553955, 0.7802072763442993, 0.22083644568920135, 0.10034674406051636, 0.1511450558900833, 0.0035511255264282227, -1.0755139589309692, 2.04132080078125, 0.09653650224208832, -0.8089506030082703, -0.9916248321533203, -0.5169875621795654, -0.35676294565200806, 0.12522366642951965, 0.34272006154060364, 2.3389358520507812, -1.5866708755493164, 1.7574489116668701, 1.224747657775879, 0.1660340130329132, 1.1492595672607422, 2.4993767738342285, -0.43384552001953125, -0.005118459463119507, -0.9110050797462463, -0.6704918742179871, -0.7369875311851501, 0.20844218134880066, 0.5336571931838989, -0.3096933364868164, -0.1564352810382843, 1.457301139831543, 0.4874439537525177, -0.9582509994506836, 1.4743766784667969, -0.7177706956863403, -2.4938433170318604, 1.451426386833191, -1.958672285079956, -0.5514279007911682, 0.3994273245334625, 1.3626883029937744, -1.8289719820022583, 1.1090235710144043, -1.0751063823699951, -0.09913644194602966, 0.7286191582679749, -0.15980082750320435, 0.3197154998779297, -0.346852570772171, -0.29536643624305725, -0.37837129831314087, 1.3834987878799438, -0.1723158359527588, -1.5570080280303955, 0.7214048504829407, -2.012759208679199, -0.40717214345932007, 0.5042202472686768, -0.3773624002933502, -0.35666126012802124, -1.5423007011413574, 0.5361342430114746, 0.3885994851589203, -1.3550645112991333, 0.6038342714309692, -0.6592821478843689, 0.5325859785079956, 0.4978872537612915, -0.879209041595459, 0.18651017546653748, 0.20488470792770386, -0.03361940383911133, 1.088984727859497, 1.6976678371429443, -0.06143810227513313, -0.004191339015960693, -0.022402741014957428, 0.2258845567703247, -0.7507588863372803, 1.3163127899169922, -1.2715572118759155, -0.979170560836792, 1.4099630117416382, 0.5876432657241821, -0.5237131118774414, 0.32770004868507385, 0.8999661207199097, 0.6456418037414551, 0.5508316159248352, -0.9748809337615967, 0.028577715158462524, -2.0731499195098877, 0.049255091696977615, -0.3594673275947571, 0.24836522340774536, -1.3861911296844482, -0.04468601942062378, -0.4035238027572632, 1.803011178970337, -0.04883092641830444, -2.167477607727051, -0.4405602812767029, 0.5404760241508484, -0.21340790390968323, 1.1232953071594238, 0.46662402153015137, -0.5598518252372742, 0.10735166072845459, 0.25290629267692566, 1.9125702381134033, -0.008446425199508667, -0.5830389261245728, -0.9242085218429565, -0.39135921001434326, -0.8621274828910828, 0.3640356659889221, 0.30428552627563477, -0.4732378125190735, 0.518610417842865, 1.9279766082763672, 0.4669588804244995, 1.963517665863037, 0.24395428597927094, 0.3577163815498352, 2.589334487915039]"
G00945,1,"[-0.17510975897312164, 1.0277000665664673, -1.1711337566375732, -1.529538869857788, 0.15408991277217865, 0.6868981122970581, 1.086721658706665, 0.48476147651672363, -0.43708306550979614, 0.5562351942062378, -0.41524210572242737, -0.10745477676391602, 0.6654374003410339, 1.1463227272033691, -1.0721850395202637, 0.2847365736961365, -0.7474175691604614, 1.1878018379211426, -0.019660621881484985, -0.34454870223999023, 0.11200904846191406, -0.13537602126598358, -0.8742684125900269, 0.679614782333374, -0.7105839252471924, 0.5326789617538452, -1.2554094791412354, -0.2591906785964966, 0.3230423927307129, 0.7812589406967163, -0.1659262776374817, -0.5735766887664795, 0.6989230513572693, 0.7112514972686768, -0.6764139533042908, -0.21866843104362488, 1.302160382270813, -1.268243670463562, -0.08034099638462067, 1.7871685028076172, 0.3718823194503784, 1.6133804321289062, -0.5079183578491211, -0.08332513272762299, -1.7524824142456055, 0.41761690378189087, -0.279100239276886, -0.22119686007499695, -0.07303403317928314, 0.6266351342201233, 0.49716299772262573, 1.5923255681991577, 1.295788049697876, 1.5392402410507202, 0.07779134064912796, 0.23199206590652466, -0.9462230205535889, -0.3474496006965637, 1.0801607370376587, -2.035773515701294, 0.383976548910141, -0.7433651685714722, 0.739614725112915, -0.1701965630054474, -0.13427825272083282, 2.761861801147461, -0.41379207372665405, 1.1938397884368896, -0.5635960698127747, 1.2537285089492798, -0.7112596035003662, -1.5216739177703857, 0.11842909455299377, -0.36504340171813965, -0.41855689883232117, 0.261197030544281, 1.6374059915542603, -0.3432706892490387, -0.8883590698242188, 0.3872036337852478, -0.17671076953411102, 0.6673715710639954, 0.42919793725013733, 1.1484898328781128, -0.390836238861084, -0.6462768912315369, 0.22954916954040527, 0.6805051565170288, 0.8417144417762756, 0.9717085361480713, 1.3541615009307861, 1.7607014179229736, -0.9968805313110352, -1.0042023658752441, -0.2595801055431366, 0.878849983215332, 0.5336862802505493, 1.9140863418579102, 0.83269202709198, -0.06680703908205032, -0.646881103515625, 0.8174186944961548, -0.09962217509746552, -1.458088755607605, -0.11776280403137207, -0.8648450374603271, 0.5031958222389221, -0.5648722648620605, -0.7519077062606812, -1.0799880027770996, -1.7374839782714844, 0.7069843411445618, 1.2556935548782349, -0.1700737476348877, 0.7359569668769836, -0.051505666226148605, -0.7503128051757812, 0.49293380975723267, -0.02313464879989624, 2.1279869079589844, 1.391775369644165, -0.3771299421787262, 0.9749660491943359, 0.9732201099395752, 0.8648426532745361, -0.608839213848114, 0.9280966520309448, 1.4181692600250244]"
G00315,0,"[-0.4101209044456482, 0.06851208209991455, 2.2249646186828613, 1.172882318496704, -0.2895149290561676, 0.3661311864852905, -1.5625889301300049, -0.683448076248169, -1.290820837020874, 0.4413995146751404, 0.06908626854419708, -0.8978568911552429, -1.642808198928833, 0.542924702167511, -0.021108053624629974, 0.02279093861579895, 0.41684168577194214, -2.96099591255188, -0.14213868975639343, -0.7703521847724915, -0.258810818195343, 0.6544628143310547, -1.824846625328064, -3.9277679920196533, 0.3579319715499878, -0.15247167646884918, -0.7789878249168396, -0.9853425025939941, 0.4186539649963379, -2.821798324584961, -0.8372228741645813, -0.0202329158782959, -0.22404618561267853, 1.2719755172729492, 0.44198405742645264, -1.8118805885314941, 2.4372777938842773, -0.11156889796257019, -0.04745316877961159, -1.1152085065841675, -0.1918298602104187, -1.5979872941970825, -0.733447790145874, 0.4083932340145111, 0.5048056840896606, -0.8334983587265015, 1.9051891565322876, 0.43453505635261536, 1.2381633520126343, -0.32009899616241455, 0.12476706504821777, -0.6224372386932373, -0.9864717721939087, 0.1989658772945404, -0.034151315689086914, 1.0765323638916016, 0.4913497269153595, 0.3453077971935272, -0.43747201561927795, 0.6658048033714294, -0.3046140968799591, -2.663182258605957, 0.7146433591842651, -0.8548008799552917, -0.04575708508491516, -0.20661839842796326, 0.0011867284774780273, -0.3709186017513275, -1.0128828287124634, 0.600192666053772, -1.4666948318481445, 1.047109842300415, -3.536992311477661, -0.3127410411834717, -1.4950968027114868, 1.4999926090240479, -1.669541835784912, 0.24239981174468994, -1.5867283344268799, 0.2634236216545105, 0.10020650923252106, -0.8954090476036072, -2.5771613121032715, -0.8437248468399048, 0.14545536041259766, -1.5621869564056396, -0.9842113256454468, 0.512027382850647, 0.03693816065788269, -2.7717299461364746, -1.8972958326339722, -0.20925037562847137, 0.7113746404647827, -0.8159376382827759, 1.0597671270370483, 1.6876065731048584, 0.5383342504501343, -0.981000542640686, 1.4568232297897339, -0.3434840440750122, 1.1306825876235962, 1.2856006622314453, -0.5786977410316467, 0.6260120272636414, 0.1790452003479004, 0.46373772621154785, -0.8213318586349487, -0.6144227385520935, -0.335957795381546, 0.20741918683052063, -0.7882944345474243, -1.559068202972412, 0.809504508972168, 0.45496174693107605, 0.8605734705924988, 0.685071587562561, 0.2585710883140564, 1.2098852396011353, 0.7391766309738159, 0.14357984066009521, 2.0522897243499756, -0.8692769408226013, 0.49674639105796814, 0.5766403079032898, -0.4201692044734955, -0.36999452114105225, 0.16038209199905396, 1.4885188341140747]"
G11749,2,"[0.16262918710708618, 0.6413315534591675, -0.15336622297763824, -0.5059906840324402, 0.6167312264442444, -0.7882136702537537, 0.4154626131057739, 0.04136878252029419, -1.525151014328003, 0.22546102106571198, -0.12265585362911224, 1.2743300199508667, 0.5836852192878723, 0.5070290565490723, 1.12480890750885, -0.09839555621147156, 1.6882704496383667, -1.0602071285247803, -1.2645511627197266, 0.350245863199234, 0.3646412789821625, 1.1641250848770142, -0.23558193445205688, -2.3274872303009033, -0.6585571765899658, -0.8104894161224365, 1.3701815605163574, -0.3086017072200775, -0.8179900646209717, -1.8138797283172607, -0.8871141076087952, -0.5889954566955566, 0.1486298143863678, -0.22758996486663818, -0.002981215715408325, 0.17800301313400269, 0.5148938894271851, 0.7769193649291992, 0.7878941297531128, 1.1007509231567383, 0.7953100204467773, 0.3107043504714966, -0.47675102949142456, -0.836893618106842, 2.235332489013672, 0.9618577361106873, 1.380125880241394, -0.11459280550479889, 1.0416390895843506, -0.9701938629150391, 0.17812228202819824, -0.3835160732269287, -0.8049449920654297, 0.16791945695877075, -1.1628682613372803, -0.9156431555747986, -1.2345317602157593, 0.5307925939559937, 0.3537430167198181, -0.3397074341773987, -0.048109300434589386, -2.308870792388916, 0.5090700387954712, -0.7074689865112305, 0.6546196937561035, -0.0871802270412445, -0.9079491496086121, -0.9266195297241211, 0.41983842849731445, -0.14242947101593018, -0.6595174670219421, 0.8214182257652283, -0.36552417278289795, 0.8642462491989136, -0.0160159170627594, -1.3988019227981567, -1.3568551540374756, 0.33432310819625854, -0.10484038293361664, -0.9907662868499756, -0.4086436927318573, 1.127109408378601, 0.008276045322418213, -0.873462975025177, 0.5670612454414368, 0.28907880187034607, -0.9443409442901611, 0.2508225739002228, -0.49886977672576904, -0.002899445593357086, -0.26725783944129944, -0.8488748669624329, -0.14791551232337952, -0.6864124536514282, -0.17619656026363373, -0.132820725440979, 0.5676469206809998, -1.0147253274917603, 2.766519069671631, 0.36527109146118164, -0.7903831601142883, -0.5595600008964539, -0.2803575098514557, 0.048333488404750824, 0.016031324863433838, -0.38421279191970825, -0.15110239386558533, 2.324040651321411, 0.6799262762069702, -0.5264135599136353, 0.3143344521522522, 1.4587833881378174, 0.7492467164993286, 1.3403836488723755, -0.6150072813034058, 0.6474155783653259, 0.4856432378292084, 0.3327661156654358, -0.03750775009393692, -0.33463525772094727, -1.0256775617599487, -0.5747156143188477, -0.6028170585632324, 1.390738844871521, -0.8406307697296143, 0.1490604728460312, -1.335038423538208, 0.16066467761993408]"
