Representation,Algorithm,Distance metric,Subset size,N clusters,V-measure,Adj. RS,Hopkins,Silhouette Score,Modularity,Homogeneity,Completeness,Trustworthiness,Continuity
PAF,kMeans-preset,euclidean,50,5,0.4718121834561336,0.3780258304407591,0.8861586765212849,0.2489726978609583,,0.4452398111255518,0.5017575956070912,0.9475454012888108,0.9460796719390744
PAF,kMeans,euclidean,50,7,0.5040010363843875,0.3966559026102203,0.8861586765212849,0.2489726978609583,,0.5207897020311715,0.48826099661671774,0.9475454012888108,0.9460796719390744
PAF,HDBSCAN,euclidean,50,26,0.4905370057125226,0.26236578810089767,0.8861586765212849,0.2489726978609583,,0.6675730723000247,0.38771696978283726,0.9475454012888108,0.9460796719390744
PAF,Leiden,euclidean,50,7,0.5021361804543525,0.403768768229981,0.8861586765212849,0.5215483903884888,0.6899493141289438,0.5206831323425865,0.48486508254535343,0.9475454012888108,0.9460796719390744
LFCC,kMeans-preset,euclidean,50,5,0.390431171476199,0.23340653890607788,0.9875530748956941,0.38144463373236254,,0.36253409644820744,0.42297953578362807,0.9816977152899824,0.9862835383714118
LFCC,kMeans,euclidean,50,15,0.3698219074757929,0.1611737377219664,0.9875530748956941,0.38144463373236254,,0.46157555302615355,0.30849763920550033,0.9816977152899824,0.9862835383714118
LFCC,HDBSCAN,euclidean,50,5,0.4125140815485296,0.2580789877354035,0.9875530748956941,0.38144463373236254,,0.3799024479808373,0.45125037260680695,0.9816977152899824,0.9862835383714118
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9875530748956941,0.6055037975311279,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.9816977152899824,0.9862835383714118
Spectrogram,kMeans-preset,euclidean,50,5,0.47679660827412423,0.34064373532255837,0.9002727297336497,0.22246781097476515,,0.4463515786119215,0.5116988884098918,0.9312536613942589,0.9564346807264206
Spectrogram,kMeans,euclidean,50,3,0.5292661737842878,0.3758381420888149,0.9002727297336497,0.22246781097476515,,0.41862042579521436,0.7194150915486875,0.9312536613942589,0.9564346807264206
Spectrogram,HDBSCAN,euclidean,50,3,0.5292661737842875,0.3758381420888149,0.9002727297336497,0.22246781097476515,,0.4186204257952142,0.7194150915486873,0.9312536613942589,0.9564346807264206
Spectrogram,Leiden,euclidean,50,7,0.47161039373208463,0.3123719305317612,0.9002727297336497,0.35326820611953735,0.6456834019204389,0.4734014978119288,0.4698327917724841,0.9312536613942589,0.9564346807264206
VAE,kMeans-preset,euclidean,50,5,0.4982043734964376,0.3585793371625332,0.9678202177772388,0.26357249676525657,,0.45715515247309685,0.5473526790041172,0.9637152899824253,0.9607111892208553
VAE,kMeans,euclidean,50,3,0.5419772715514625,0.391739312311755,0.9678202177772388,0.26357249676525657,,0.430027434941361,0.7327303057635294,0.9637152899824253,0.9607111892208553
VAE,HDBSCAN,euclidean,50,4,0.556884982384248,0.4053155393810653,0.9678202177772388,0.26357249676525657,,0.45544303956058596,0.7164649810427286,0.9637152899824253,0.9607111892208553
VAE,Leiden,euclidean,50,6,0.47757336460351724,0.3579539461566435,0.9678202177772388,0.5029546618461609,0.6812635802469135,0.4703218710582701,0.48505196902084896,0.9637152899824253,0.9607111892208553
PAF,kMeans-preset,euclidean,50,5,0.46910113848339,0.3754526855480786,0.9095231610741892,0.2480055491913767,,0.4422954875502397,0.49936556437864416,0.9501288810779145,0.9444346807264207
